title,price,bedroom,bathroom,carport,LT,LB,badges,agent,updated,location,link,kecamatan,kabupaten_kota,total_rooms,min_area_needed,price_per_m2_land,price_per_m2_building,building_efficiency,listing_age_days,room_density,bathroom_bedroom_ratio,fuzzy_area_quality,fuzzy_quality_score,efficiency_category,kecamatan_encoded,kabupaten_kota_encoded
Dijual Rumah 2 Lantai Bangunan Minimalis Modern Di Maguwoharjo,156000000000.0,3.0,2.0,1,111.0,80.0,"Rumah, Dekat Sekolah, Dekat Fasilitas Kesehatan",Mey Wastu,2025-04-15 14:00:25.159087,"Maguwoharjo, Yogyakarta",/properti/yogyakarta/hos17864137/,Maguwoharjo,Yogyakarta,5.0,45.0,1405405405.4054055,1950000000.0,0.7207207207207207,21,0.0625,0.6666666666666666,0.4415857901060473,0.4415857901060473,high,13,0
"Rumah Mewah, Cantik dan Strategis, 5 menit ke Bandara Adisutjipto",145000000000.0,3.0,3.0,1,110.0,129.0,"Rumah, Dekat Akses Transportasi, Dekat Sekolah, Dekat Fasilitas Kesehatan",Arif Faiza,2025-04-15 14:00:25.159123,"Danurejan, Yogyakarta",/properti/yogyakarta/hos17862928/,Danurejan,Yogyakarta,6.0,54.0,1318181818.1818182,1124031007.7519379,1.1727272727272726,21,0.046511627906976744,1.0,0.4356227188480291,0.4356227188480291,very_high,3,0
Rumah Baru Siap Huni 2 lantai Dalam Ringroad dekat UPN,11000000000.0,3.0,2.0,1,90.0,110.0,"Rumah, Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah",Anang E Purnawan,2025-04-15 14:00:25.159152,"Maguwoharjo, Yogyakarta",/properti/yogyakarta/hos17861226/,Maguwoharjo,Yogyakarta,5.0,45.0,122222222.22222222,100000000.0,1.2222222222222223,21,0.045454545454545456,0.6666666666666666,0.262308375056353,0.262308375056353,very_high,13,0
Rrumah murah baru di kodya jogja umbulharjo 2 Lantai,11000000000.0,3.0,2.0,1,62.0,75.0,"Rumah, Dekat Sekolah",Muhlisin panoramicland,2025-04-06 03:26:49.159200,"Umbulharjo, Yogyakarta",/properti/yogyakarta/hos17539436/,Umbulharjo,Yogyakarta,5.0,45.0,177419354.83870968,146666666.66666666,1.2096774193548387,30,0.06666666666666667,0.6666666666666666,0.1826618823770513,0.1826618823770513,very_high,26,0
RUMAH APIK DI KOTAGEDE YOGYAKARTA,750000000.0,3.0,1.0,1,95.0,125.0,Rumah,Yuswan Arfian Prastyanto,2025-04-06 03:26:49.159234,"Kotagede, Yogyakarta",/properti/yogyakarta/hos17807017/,Kotagede,Yogyakarta,4.0,36.0,7894736.842105263,6000000.0,1.3157894736842106,30,0.032,0.3333333333333333,0.311395686821889,0.311395686821889,very_high,10,0
Rumah siap huni di Maguwoharjo dkt Ambarukmo Plaza harga termurah,825000000.0,3.0,2.0,1,99.0,66.0,"Rumah, Siap Huni, Dekat Akses Transportasi, Dekat Pusat Perbelanjaan",Novi,2025-04-06 03:26:49.159332,"Seturan, Yogyakarta",/properti/yogyakarta/hos17802895/,Seturan,Yogyakarta,5.0,45.0,8333333.333333333,12500000.0,0.6666666666666666,30,0.07575757575757576,0.6666666666666666,0.2941226618914879,0.2941226618914879,medium,22,0
Rumah Cantik 2 Lantai di Jogja 5 menit ke Plaza Ambarukmo,145000000000.0,3.0,3.0,1,110.0,129.0,"Rumah, Dekat Akses Transportasi, Dekat Sekolah, Dekat Fasilitas Kesehatan",Arif Faiza,2025-04-06 03:26:49.159358,"Gondomanan, Yogyakarta",/properti/yogyakarta/hos17802130/,Gondomanan,Yogyakarta,6.0,54.0,1318181818.1818182,1124031007.7519379,1.1727272727272726,30,0.046511627906976744,1.0,0.4356227188480291,0.4356227188480291,very_high,7,0
9 menit ke Kopi Klotok Jakal Rumah Asri Siap Huni di Sleman,930000000.0,4.0,5.0,1,211.0,180.0,"Rumah, Siap Huni, Dekat Sekolah, Dekat Fasilitas Kesehatan",Siska Core,2025-04-06 03:26:49.159361,"Sleman, Yogyakarta",/properti/yogyakarta/hos17802024/,Sleman,Yogyakarta,9.0,81.0,4407582.938388625,5166666.666666667,0.8530805687203792,30,0.05,1.25,0.4999999999999998,0.4999999999999998,high,24,0
Rumah Mewah 2 Lantai di Jogja 5 menit ke Bandara Adisutjipto,145000000000.0,3.0,3.0,1,110.0,129.0,"Rumah, Dekat Akses Transportasi, Dekat Sekolah, Dekat Fasilitas Kesehatan",Arif Faiza,2025-04-06 03:26:49.159364,"Ngampilan, Yogyakarta",/properti/yogyakarta/hos17802011/,Ngampilan,Yogyakarta,6.0,54.0,1318181818.1818182,1124031007.7519379,1.1727272727272726,30,0.046511627906976744,1.0,0.4356227188480291,0.4356227188480291,very_high,17,0
"5 Menit Kampus UTY, Rumah Di Jogja, Bale Bhavana Residence",211000000000.0,3.0,2.0,1,110.0,107.0,"Rumah, Dekat Akses Transportasi, Dekat Sekolah",Kms Taufik,2025-04-06 03:26:49.159393,"Sleman, Yogyakarta",/properti/yogyakarta/hos17800779/,Sleman,Yogyakarta,5.0,45.0,1918181818.1818182,1971962616.82243,0.9727272727272728,30,0.04672897196261682,0.6666666666666666,0.4356227188480291,0.4356227188480291,high,24,0
Rumah Murah Jogja di Banguntapan 2 Mnt Jln Wonosari Dkat Kotagede,690000000.0,2.0,1.0,1,85.0,45.0,"Rumah, Dekat Akses Transportasi, Dekat Sekolah, Dekat Tempat Wisata",Andri KIMahouse,2025-04-06 03:26:49.159405,"Kotagede, Yogyakarta",/properti/yogyakarta/hos17800059/,Kotagede,Yogyakarta,3.0,27.0,8117647.05882353,15333333.333333334,0.5294117647058824,30,0.06666666666666667,0.5,0.17626850604513764,0.17626850604513764,medium,10,0
1 Unit Terakhir ! Rumah Tropis Modern di Sleman dekat Jogja Bay,934000000.0,3.0,1.0,1,100.0,60.0,"Rumah, Dekat Pusat Perbelanjaan, Dekat Sekolah",Siska Core,2025-04-06 03:26:49.159408,"Sleman, Yogyakarta",/properti/yogyakarta/hos17799258/,Sleman,Yogyakarta,4.0,36.0,9340000.0,15566666.666666666,0.6,30,0.06666666666666667,0.3333333333333333,0.20045193246692306,0.20045193246692306,medium,24,0
Rumah Besar Siap Huni di Rejowinangun Kotagede Yogyakarta,15000000000.0,3.0,2.0,1,230.0,200.0,"Rumah, Siap Huni",Dyah Okta,2025-04-22 14:00:25.159450,"Kotagede, Yogyakarta",/properti/yogyakarta/hos17748952/,Kotagede,Yogyakarta,5.0,45.0,65217391.30434783,75000000.0,0.8695652173913043,14,0.025,0.6666666666666666,0.49999999999999983,0.49999999999999983,high,10,0
"RUMAH DEKAT MANDALA KRIDA DAN KAMPUS UST, UAD",185000000000.0,3.0,4.0,1,121.0,140.0,"Rumah, Full Furnished, Dekat Sekolah",Epro Rumah Jogja,2025-04-06 03:26:49.159465,"Umbulharjo, Yogyakarta",/properti/yogyakarta/hos17747421/,Umbulharjo,Yogyakarta,7.0,63.0,1528925619.8347108,1321428571.4285715,1.1570247933884297,30,0.05,1.3333333333333333,0.49854131631684984,0.49854131631684984,very_high,26,0
Rumah Siap Huni di Banguntapan Dekat Ringroad Giwangan Kotagede,485000000.0,2.0,1.0,1,72.0,43.0,"Rumah, Siap Huni, Dekat Akses Transportasi, Dekat Fasilitas Kesehatan",Andri KIMahouse,2025-04-06 03:26:49.159473,"Kotagede, Yogyakarta",/properti/yogyakarta/hos17746635/,Kotagede,Yogyakarta,3.0,27.0,6736111.111111111,11279069.767441861,0.5972222222222222,30,0.06976744186046512,0.5,0.16502944252336987,0.16502944252336987,medium,10,0
6 Menit dari Pemda Sleman Perumahan Mewah Modern di Sleman,17000000000.0,3.0,4.0,1,102.0,171.0,"Rumah, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Landmark",Siska Core,2025-04-06 03:26:49.159483,"Sleman, Yogyakarta",/properti/yogyakarta/hos17627601/,Sleman,Yogyakarta,7.0,63.0,166666666.66666666,99415204.67836258,1.6764705882352942,30,0.04093567251461988,1.3333333333333333,0.4918104264181742,0.4918104264181742,very_high,24,0
Rumah Open Space Concept Pertama di Bantul dekat Kampus UMY,927000000.0,3.0,2.0,1,72.0,83.0,"Rumah, Dekat Akses Transportasi, Dekat Pusat Perbelanjaan, Dekat Sekolah",Siska Core,2025-04-29 14:00:25.159484,"Bantul, Yogyakarta",/properti/yogyakarta/hos17746335/,Bantul,Yogyakarta,5.0,45.0,12875000.0,11168674.69879518,1.1527777777777777,7,0.060240963855421686,0.6666666666666666,0.17672277785243082,0.17672277785243082,very_high,0,0
Rumah Minimalis Cantik Harga Terjangkau 15 Menit ke Malioboro,780000000.0,2.0,1.0,1,108.0,50.0,"Rumah, Full Furnished, Dekat Akses Transportasi, Dekat Pusat Perbelanjaan",Rifaza Core,2025-04-29 14:00:25.159505,"Sleman, Yogyakarta",/properti/yogyakarta/hos17745789/,Sleman,Yogyakarta,3.0,27.0,7222222.222222222,15600000.0,0.46296296296296297,7,0.06,0.5,0.1808336279339661,0.1808336279339661,low,24,0
Laku Keras 1 Unit Terakhir Rumah Modern di Sleman dekat Jogja Bay,934000000.0,3.0,1.0,1,100.0,60.0,"Rumah, Dekat Pusat Perbelanjaan, Dekat Sekolah",Siska Core,2025-04-29 14:00:25.159516,"Sleman, Yogyakarta",/properti/yogyakarta/hos17745337/,Sleman,Yogyakarta,4.0,36.0,9340000.0,15566666.666666666,0.6,7,0.06666666666666667,0.3333333333333333,0.20045193246692306,0.20045193246692306,medium,24,0
Hunian Konsep Industrial 2 Lantai Tepi Jalan Dengan Kolam Renang,940000000.0,3.0,2.0,1,76.0,83.0,"Rumah, Dekat Akses Transportasi, Dekat Pusat Perbelanjaan, Dekat Sekolah",Lina Core,2025-04-29 14:00:25.159522,"Bantul, Yogyakarta",/properti/yogyakarta/hos17744752/,Bantul,Yogyakarta,5.0,45.0,12368421.05263158,11325301.204819277,1.0921052631578947,7,0.060240963855421686,0.6666666666666666,0.17801895722660446,0.17801895722660446,very_high,0,0
Jual Rumah di Umbulharjo Yogyakarta,185000000000.0,3.0,4.0,1,121.0,140.0,"Rumah, Full Furnished, Dekat Sekolah",Andyanto kurniawan,2025-04-06 03:26:49.159552,"Umbulharjo, Yogyakarta",/properti/yogyakarta/hos17743035/,Umbulharjo,Yogyakarta,7.0,63.0,1528925619.8347108,1321428571.4285715,1.1570247933884297,30,0.05,1.3333333333333333,0.49854131631684984,0.49854131631684984,very_high,26,0
