title,price,bedroom,bathroom,carport,LT,LB,badges,agent,updated,location,link
"Rumah Murah Fasilitas Mesjid Dan Kolam Renang Di Seyegan","Rp 299 Juta","2","1","1",": 60 m²",": 30 m²","Rumah, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan","Lisa Wastu","Diperbarui 3 minggu yang lalu oleh","Seyegan, Sleman","/properti/sleman/hos17911542/"
"Rumah Murah Dp 5% Tepi Jalan Raya Di Seyegan","Rp 299 Juta","2","1","1",": 60 m²",": 30 m²","Rumah, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan","Lisa Wastu","Diperbarui 3 minggu yang lalu oleh","Seyegan, Sleman","/properti/sleman/hos17911540/"
"Rumah Siap Bangun di Utara Maguwoharjo Sleman Yogyakarta","Rp 720 Juta","3","1","2",": 120 m²",": 50 m²","Rumah, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan","Rida Property","Diperbarui 5 hari yang lalu oleh","Sleman, Sleman","/properti/sleman/hos17873054/"
"RUMAH BARU MODERN DI DEPOK SLEMAN DEKAT KAMPUS UNY DAN UGM","Rp 1,78 Miliar","5","3","1",": 120 m²",": 160 m²","Rumah, Dekat Pusat Perbelanjaan, Dekat Sekolah","Faridah Property","Diperbarui 3 minggu yang lalu oleh","Depok, Sleman","/properti/sleman/hos17090956/"
"RUMAH DALAM CLUSTER DI WEDOMARTANI SLEMAN DEKAT SD MODEL","Rp 895 Juta","3","2","1",": 90 m²",": 60 m²","Rumah, Siap Huni, Dekat Sekolah, Dekat Fasilitas Kesehatan","Faridah Property","Diperbarui 3 minggu yang lalu oleh","Depok, Sleman","/properti/sleman/hos16384276/"
"RUMAH SIAP HUNI DI MAGUWOHARJO DEPOK SLEMA DEKAT PASAR UPN","Rp 1,55 Miliar","4","3","1",": 199 m²",": 135 m²","Rumah, Siap Huni, Dekat Akses Transportasi, Dekat Pusat Perbelanjaan","Faridah Property","Diperbarui 3 minggu yang lalu oleh","Depok, Sleman","/properti/sleman/hos17601753/"
"Dijual Cepat Rumah Baru Scandinavian di Jogja Maguwoharjo","Rp 999 Juta","3","3","1",": 103 m²",": 100 m²","Rumah, Siap Huni","Victor Viva","Diperbarui 3 minggu yang lalu oleh","Depok, Sleman","/properti/sleman/hos17909920/"
"Siap Di Tempati Rumah Di Perumnas Minomartani Dekat Rs Jih","Rp 460 Juta","2","1","1",": 70 m²",": 70 m²","Rumah, Siap Huni, Dekat Sekolah, Dekat Fasilitas Kesehatan","Yakob property GT","Diperbarui 2 hari yang lalu oleh","Ngaglik, Sleman","/properti/sleman/hos17334264/"
"Dijual Rumah di Citra Sun Garden Jogjakarta Furnished Bagus Hook","Rp 6 Miliar","4","4","N/A",": 234 m²",": 240 m²","Rumah, Full Furnished","Betty An","Diperbarui 3 minggu yang lalu oleh","Sleman, Yogyakarta","/properti/yogyakarta/hos16423751/"
"Komplek Perumahan Tepi Jalan Palagan Jogja, Termuraah","Rp 1,25 Miliar","3","1","1",": 139 m²",": 82 m²","Rumah","Victor Viva","Diperbarui 3 minggu yang lalu oleh","Ngaglik, Sleman","/properti/sleman/hos17910128/"
"Rumah Siap Huni Akses Mudah Di Kalasan Sleman Jogja","Rp 730 Juta","3","2","1",": 121 m²",": 85 m²","Rumah, Siap Huni, Dekat Sekolah","Arlis Wastu","Diperbarui 3 minggu yang lalu oleh","Kalasan, Sleman","/properti/sleman/hos17911392/"
"Rumah 2 Lantai Siap Huni Harga 900JUTAAN Di Ngemplak Sleman","Rp 975 Juta","4","3","2",": 107 m²",": 105 m²","Rumah, Siap Huni, Dekat Sekolah","Arlis Wastu","Diperbarui 3 minggu yang lalu oleh","Ngemplak, Sleman","/properti/sleman/hos17911383/"
"Rumah Murah Akses Mudah Dalam Cluster Di Kalasan Sleman","Rp 775 Juta","3","2","1",": 105 m²",": 70 m²","Rumah, Dekat Akses Transportasi, Dekat Sekolah, Dekat Fasilitas Kesehatan","Arlis Wastu","Diperbarui 3 minggu yang lalu oleh","Kalasan, Sleman","/properti/sleman/hos17911371/"
"Rumah Murah Dekat Pasar Godean Di Seyegan Sleman","Rp 330 Juta","2","1","1",": 60 m²",": 36 m²","Rumah, Dekat Pusat Perbelanjaan, Dekat Fasilitas Kesehatan, Dekat Tempat Ibadah","Arlis Wastu","Diperbarui 3 minggu yang lalu oleh","Seyegan, Sleman","/properti/sleman/hos17911366/"
"Rumah Mewah Semi Furnished Di Tajem Maguwoharjo","Rp 875 Juta","2","2","1",": 94 m²",": 90 m²","Rumah, Full Furnished, Dekat Sekolah, Dekat Fasilitas Kesehatan","Rumah Jogja Cantik","Diperbarui 3 minggu yang lalu oleh","Maguwoharjo, Yogyakarta","/properti/yogyakarta/hos17911181/"
"Rumah Dekat Mercubuana di Jl Wates Km 12 Sedayu Bantul Siap Huni","Rp 335 Juta","2","1","1",": 82 m²",": 46 m²","Rumah, Siap Huni, Dekat Sekolah","hamdan nugroho","Diperbarui 3 minggu yang lalu oleh","Sedayu, Bantul","/properti/bantul/hos10527914/"
"Rumah Murah Di Daerah Seyegan Sleman Yogyakarta","Rp 900 Juta","9","4","1",": 273 m²",": 300 m²","Rumah","Irmasari","Diperbarui 3 minggu yang lalu oleh","Seyegan, Sleman","/properti/sleman/hos17910879/"
"Rumah Baru Mewah Di Jalan Kaliurang Km 13","Rp 1,21 Miliar","3","2","1",": 121 m²",": 100 m²","Rumah, Dekat Sekolah, Dekat Fasilitas Kesehatan, Dekat Landmark","Rumah Jogja Cantik","Diperbarui 3 minggu yang lalu oleh","Kaliurang, Sleman","/properti/sleman/hos17910788/"
"Rumah Siap Huni Dekat Pamela 7 Purwomartani Sleman","Rp 830 Juta","3","2","2",": 127 m²",": 85 m²","Rumah, Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah","Anggry Novian","Diperbarui 3 minggu yang lalu oleh","Purwomartani , Sleman","/properti/sleman/hos17910462/"
"Rumah Siap Huni Strategis Dekat Jl Raya Tajem Dan Pamela 7 Purwomartani Sleman","Rp 685 Juta","3","2","1",": 97 m²",": 65 m²","Rumah, Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah","Anggry Novian","Diperbarui 3 minggu yang lalu oleh","Purwomartani , Sleman","/properti/sleman/hos17910431/"
"Rumah Ekonomis di Kulon Progo Mulai dari 200 Juta","Rp 250 Juta","2","1","1",": 70 m²",": 36 m²","Rumah","Frans Soelistijo","Diperbarui 3 minggu yang lalu oleh","Pengasih, Kulon Progo","/properti/kulon-progo/hos17780968/"
"Jual Rumah Siap Huni, Bonus Full Furnished Condongcatur, Ringroad","Rp 695 Juta","2","1","1",": 80 m²",": 50 m²","Rumah, Full Furnished, Siap Huni","Adha Maulana","Diperbarui 2 minggu yang lalu oleh","Condong Catur, Sleman","/properti/sleman/hos16823382/"
"Rumah Cantik 2 Lantai Proses Bangun Desain Modern di Mlati Sleman","Rp 1,49 Miliar","4","2","1",": 103 m²",": 110 m²","Rumah, Dekat Tempat Ibadah","Augi","Diperbarui 3 minggu yang lalu oleh","Mlati, Sleman","/properti/sleman/hos17910240/"
"Rumah Cantik 2 Lantai Proses Bangun Desain Modern di Mlati Sleman","Rp 1,49 Miliar","4","2","1",": 103 m²",": 110 m²","Rumah, Dekat Tempat Ibadah","Wahyuasih Dwi Retnowati","Diperbarui 3 minggu yang lalu oleh","Sleman, Sleman","/properti/sleman/hos17910234/"
"Rumah Siap Huni Strategis Dekat Jl Raya Tajem 1 Km Utara Budi Mulia","Rp 550 Juta","3","2","1",": 85 m²",": 70 m²","Rumah, Siap Huni","Anggry Novian","Diperbarui 3 minggu yang lalu oleh","Ngemplak, Sleman","/properti/sleman/hos17910192/"
"Rumah Murah Didalam Cluster Desain Modern","Rp 440 Juta","2","1","1",": 72 m²",": 45 m²","Rumah, Dekat Akses Transportasi, Dekat Sekolah, Dekat Fasilitas Kesehatan","Salva Wastu","Diperbarui 3 minggu yang lalu oleh","Prambanan, Sleman","/properti/sleman/hos17910189/"
"Rumah mewah 2 lantai dalam perumahan cluster strategis barat pasar gentn jl Kaliurang km.10","Rp 1,6 Miliar","3","2","1",": 128 m²",": 100 m²","Rumah, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Landmark","Anggry Novian","Diperbarui 3 minggu yang lalu oleh","Ngaglik, Sleman","/properti/sleman/hos17607064/"
"Rumah Cantik Scandinavian Di Kalasan Utara Jln Raya Jogja Solo","Rp 549 Juta","2","1","1",": 90 m²",": 45 m²","Rumah, Dekat Fasilitas Kesehatan","Wahyuasih Dwi Retnowati","Diperbarui 3 minggu yang lalu oleh","Kalasan, Sleman","/properti/sleman/hos17910051/"
"Rumah Cantik Scandinavian Di Kalasan Utara Jln Raya Jogja Solo","Rp 549 Juta","2","1","1",": 90 m²",": 45 m²","Rumah, Dekat Fasilitas Kesehatan","Augi","Diperbarui 3 minggu yang lalu oleh","Sleman, Yogyakarta","/properti/yogyakarta/hos17910044/"
"Rumah Jogja Dijual Murah di Maguwo, Strategis Dekat Jalan Utama","Rp 1,3 Miliar","3","3","1",": 116 m²",": 130 m²","Rumah, Dekat Sekolah, Dekat Fasilitas Kesehatan, Dekat Tempat Wisata","Victor Viva","Diperbarui 3 minggu yang lalu oleh","Ngemplak, Sleman","/properti/sleman/hos17910042/"
"Rumah Idaman Murah Investasi Terbaik di Jl. Magelang","Rp 495 Juta","2","1","1",": 112 m²",": 36 m²","Rumah, Dekat Akses Transportasi, Dekat Pusat Perbelanjaan, Dekat Sekolah","Novi","Diperbarui 3 minggu yang lalu oleh","Mlati, Sleman","/properti/sleman/hos17909996/"
