"title","price","bedroom","bathroom","carport","LT","LB","badges","agent","updated","location","link","description"
"Dijual Rumah 2 Lantai Sawit Sari Dekat Ugm Sawitsari Condongcatur Sleman Yogyakarta","Rp 1,55 Miliar","4","3","1","118 m²","150 m²","Dekat Sekolah, Dekat Fasilitas Kesehatan, Rumah, Premier","DODDY (LNJD)","Diperbarui 2 hari yang lalu oleh","Condong Catur, Sleman","/properti/sleman/hos39266338/","Rumah Dijual Sleman LETAK STRATEGIS KONDISI OK LINGKUNGAN ASRI DAN NYAMAN DEKAT KAMPUS UII DEKAT..."
"UNIT EKSKLUSIF KONSEP JOGLO LEGALITAS SHM, HOOK DEKAT TAMAN.","Rp 730 Juta","2","1","1","105 m²","60 m²","Dekat Akses Transportasi, Dekat Pusat Perbelanjaan, Dekat Sekolah, Rumah, Premier","Yunna ciptanugraha","Diperbarui 1 minggu yang lalu oleh","Sleman, Sleman","/properti/sleman/hos39763035/","UNIT EKSKLUSIF KONSEP JOGLO LEGALITAS SHM, HOOK DEKAT TAMAN. di Perumahan Bale Joglo Prambanan 3,..."
"Rumah siap huni Limasan Modern di pondok wonolelo,Jl.kaliurang Km 13,Dekat Kampus UII","Rp 990 Juta","3","2","2","129 m²","90 m²","Siap Huni, Dekat Sekolah, Dekat Fasilitas Kesehatan, Rumah, Premier","indah  ade","Diperbarui 1 minggu yang lalu oleh","Ngemplak, Sleman","/properti/sleman/hos39762792/","Rumah siap huni desain Limasan modern di jl kaliurang km 13,Dekat Pasar Jangkang & Kampus UII Pusat..."
"Rumah 2 Lantai Siap Huni 2 Menit Ke Sekolah Kesatuan Bangsa","Rp 1,1 Miliar","4","2","2","90 m²","164 m²","DP 0%, Siap Huni, Bebas Banjir, Rumah, Premier","Mema Royal Sedayu","Diperbarui 2 minggu yang lalu oleh","Sleman, Sleman","/properti/sleman/hos39435732/","Dijual rumah 2 lantai di wilayah yang nyaman dengan pemandangan yang asri. Properti 2 lantai bergaya..."
"Rumah Modern Minimalis 20 Menit ke Malioboro DP hanya 15 Juta","Rp 480 Juta","2","1","1","108 m²","38 m²","Subsidi, Syariah, Siap Huni, Rumah, Premier","Yudistira Balecatur","Diperbarui 2 minggu yang lalu oleh","Mlati, Sleman","/properti/sleman/hos39715728/","Rumah Modern Minimalis DP HANYA 15 Juta di Gamping, Sleman. Cek segera rumah 1 lantai yang asri ini,..."
"Rumah Gaya Industrial Dekat Kampus Uii Dan Ugm Di Jalan Kaliurang Km 10","Rp 4,99 Miliar","4","5","2","636 m²","370 m²","Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah, Rumah, Premier","Uut benka","Diperbarui 2 minggu yang lalu oleh","Ngaglik, Sleman","/properti/sleman/hos39713578/","Lokasi : Jl. Kaliurang km 10, Sleman, Yogyakarta Hunian high quality, gaya industrial tropis siap..."
"Rumah Investasi Jawa Klasik 730 Juta, di Zona Wisata Prambanan Sleman","Rp 730 Juta","3","2","1","105 m²","60 m²","Dekat Akses Transportasi, Dekat Pusat Perbelanjaan, Dekat Sekolah, Rumah, Premier","Arum ciptanugraha","Diperbarui 3 minggu yang lalu oleh","Sleman, Sleman","/properti/sleman/hos39635217/","Rumah Investasi Jawa Klasik 730 Juta, di Zona Wisata Prambanan Sleman 1 unit terakhir, rumah joglo..."
"Ready Huni Rumah 1 Lantai Di Cluster Royal Sedayu Residence","Rp 850 Juta","2","1","1","116 m²","50 m²","DP 0%, Siap Huni, Dekat Akses Transportasi, Rumah, Premier","Mema Royal Sedayu","Diperbarui 4 minggu yang lalu oleh","Sedayu, Bantul","/properti/bantul/hos39501333/","Kesempatan terbatas buat Anda dapatkan rumah strategis dengan return investasi tinggi samping kampus..."
"RUMAH MINIMALIS MODERN DEKAT PASAR GODEAN SLEMAN MURAH JOGJA","Rp 545 Juta","2","1","2","114 m²","45 m²","Siap Huni, Dekat Pusat Perbelanjaan, Dekat Fasilitas Kesehatan, Rumah, Premier","Willy","Diperbarui 3 hari yang lalu oleh","Godean, Sleman","/properti/sleman/hos39536389/","Rumah Minimalis Modern Siap Huni Dekat Pasar Godean Sleman Jogja ✨ Unit Tersedia: A2 : LT 114 m²,..."
"PROMO KEMERDEKAAN - Beli Rumah Gratis Motor - Klaten Kota","Rp 460 Juta","2","1","1","84 m²","55 m²","Rumah, Premier","Anugrah Anandita Karya","Diperbarui 3 hari yang lalu oleh","Maguwoharjo, Yogyakarta","/properti/yogyakarta/hos39807568/","Diperbarui 3 hari yang lalu oleh"
"Diamond Park Regency Jebugan - Perumahan Murah Klaten","Rp 325 Juta","2","1","1","65 m²","36 m²","Rumah, Premier","Anugrah Anandita Karya","Diperbarui 3 hari yang lalu oleh","Kalasan, Sleman","/properti/sleman/hos39545894/","Diperbarui 3 hari yang lalu oleh"
"Rumah Super Murah Daerah Mantrijeron","Rp 1,1 Miliar","3","1","1","272 m²","272 m²","Dekat Tempat Wisata, Dekat Tempat Ibadah, Rumah, Premier","Uut benka","Diperbarui 3 hari yang lalu oleh","Mantrijeron, Yogyakarta","/properti/yogyakarta/hos39804171/","DI JUAL CEPAT Lokasi Matrijeron, kotamadya Yogyakarta Sebidang tanah bonus rumah dengan 3 kamar tidur,..."
"Dijual Rumah Cocok Untuk Usaha Dekat Pakuwon Mall Sleman","Rp 5,5 Miliar","3","2","2","559 m²","400 m²","Dekat Pusat Perbelanjaan, Dekat Sekolah, Rumah, Premier","Rinto Tanizar Jogja","Diperbarui 3 hari yang lalu oleh","Sleman, Yogyakarta","/properti/yogyakarta/hos18530659/","Rumah cocok untuk usaha dekat Pakuwon Mall, Condong Catur, Depok, Sleman, Jogja ini mempunyai luas..."
"Rumah Minimalis Modern Di Sakha Residence, Purwomartani, Kalasan, Sleman","Rp 599 Juta","1","2","1","90 m²","85 m²","Dekat Sekolah, Rumah, Premier","Rinto Tanizar Jogja","Diperbarui 3 hari yang lalu oleh","Kalasan, Sleman","/properti/sleman/hos10572013/","Rumah ini sangat cocok untuk keluarga muda yang mempunyai keluarga kecil. Rumah ini berada di Sakha..."
